Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z2, 3, 8, 720, 21736.000000, 0.049062, 443031.266561, 443024.000000, 1.000000, 2, 17.578289, 258310.323640, 258310.323640
Z2, 4, 8, 720, 16848.000000, 0.050091, 336347.846919, 336344.000000, 1.000000, 2, 17.578289, 236973.639711, 236973.639711
Z2, 5, 8, 720, 24560.000000, 0.056999, 430884.752364, 430880.000000, 1.000000, 2, 17.578289, 255881.020800, 255881.020800
Z2, 6, 8, 720, 19040.000000, 0.055255, 344584.200525, 344584.000000, 1.000000, 2, 17.578289, 238620.910433, 238620.910433
Z2, 7, 8, 720, 13192.000000, 0.050057, 263539.564896, 263536.000000, 1.000000, 2, 17.578289, 222411.983307, 222411.983307
Z3, 0, 8, 720, 8032.000000, 0.045516, 176465.418754,176464.000000, 1.000000, 2, 17.578289, 204997.154078, 204997.154078
Z3, 1, 8, 720, 7872.000000, 0.048874, 161067.234112,161064.000000, 1.000000, 2, 17.578289, 201917.517150, 201917.517150
Z3, 2, 8, 720, 7024.000000, 0.070166, 100105.464185,100104.000000, 1.000000, 2, 17.578289, 189725.163165, 189725.163165
Z3, 3, 8, 720, 7816.000000, 0.048758, 160301.899176,160296.000000, 1.000000, 2, 17.578289, 201764.450163, 201764.450163
Z3, 4, 8, 720, 7936.000000, 0.050960, 155729.984301,155728.000000, 1.000000, 2, 17.578289, 200850.067188, 200850.067188
Z3, 5, 8, 720, 6928.000000, 0.044030, 157347.263230,157344.000000, 1.000000, 2, 17.578289, 201173.522973, 201173.522973
Z3, 6, 8, 720, 8048.000000, 0.048943, 164436.180863,164432.000000, 1.000000, 2, 17.578289, 202591.306500, 202591.306500
Z3, 7, 8, 720, 7664.000000, 0.050691, 151190.546645,151184.000000, 1.000000, 2, 17.578289, 199942.179657, 199942.179657
