Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z3, 29, 1, 720, 7080.000000, 0.001625, 4356923.076923, 4356920.000000, 1.000000, 6, 0.000101, 871384.615385, 871384.615385
Z3, 30, 1, 720, 6872.000000, 0.002016, 3408730.158730, 3408728.000000, 1.000000, 6, 0.000101, 681746.031746, 681746.031746
Z3, 31, 1, 720, 6872.000000, 0.002976, 2309139.784946, 2309136.000000, 1.000000, 6, 0.000101, 461827.956989, 461827.956989
Z3, 32, 1, 720, 6376.000000, 0.002496, 2554487.179487, 2554480.000000, 1.000000, 6, 0.000101, 510897.435897, 510897.435897
Z3, 33, 1, 720, 6872.000000, 0.001831, 3753140.360459, 3753136.000000, 1.000000, 6, 0.000101, 750628.072092, 750628.072092
Z3, 34, 1, 720, 6872.000000, 0.001987, 3458480.120785, 3458480.000000, 1.000000, 6, 0.000101, 691696.024157, 691696.024157
Z3, 35, 1, 720, 6376.000000, 0.001873, 3404164.442072, 3404160.000000, 1.000000, 6, 0.000101, 680832.888414, 680832.888414
Z3, 36, 1, 720, 6872.000000, 0.001697, 4049499.116087, 4049496.000000, 1.000000, 6, 0.000101, 809899.823217, 809899.823217
Z3, 37, 1, 720, 6872.000000, 0.001674, 4105137.395460, 4105136.000000, 1.000000, 6, 0.000101, 821027.479092, 821027.479092
Z3, 38, 1, 720, 6376.000000, 0.001508, 4228116.710875, 4228112.000000, 1.000000, 6, 0.000101, 845623.342175, 845623.342175
Z1, 0, 2, 4K, 6624.000000, 0.014671, 451502.965033, 451496.000000, 1.865291, 6, 0.134810, 935923.935182, 935923.935182
Z2, 0, 2, 4K, 169992.000000, 0.017140, 9917852.975496, 9917848.000000, 1.865291, 6, 0.134810, 2829193.937274, 2829193.937274
Z2, 1, 2, 4K, 86816.000000, 0.003499, 24811660.474421, 24811656.000000, 1.865291, 6, 0.134810, 5807955.437059, 5807955.437059
Z2, 2, 2, 4K, 202576.000000, 0.006052, 33472571.050892, 33472568.000000, 1.865291, 6, 0.134810, 7540137.552354, 7540137.552354
Z2, 3, 2, 4K, 188384.000000, 0.005547, 33961420.587705, 33961416.000000, 1.865291, 6, 0.134810, 7637907.459716, 7637907.459716
Z2, 4, 2, 4K, 101008.000000, 0.003749, 26942651.373700, 26942648.000000, 1.865291, 6, 0.134810, 6234153.616915, 6234153.616915
