Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z3, 17, 11, 720, 15048.000000, 0.075174, 200175.592625, 200168.000000, 1.000000, 4, 14.913396, 253331.789302, 253331.789302
Z3, 18, 11, 720, 33152.000000, 0.060506, 547912.603709, 547912.000000, 1.000000, 4, 14.913396, 322879.191519, 322879.191519
Z3, 19, 11, 720, 40768.000000, 0.060244, 676714.693579, 676712.000000, 1.000000, 4, 14.913396, 348639.609493, 348639.609493
Z3, 20, 11, 720, 29224.000000, 0.052322, 558541.340163, 558536.000000, 1.000000, 4, 14.913396, 325004.938810, 325004.938810
Z3, 21, 11, 720, 40336.000000, 0.051424, 784380.833852, 784376.000000, 1.000000, 4, 14.913396, 370172.837547, 370172.837547
Z3, 22, 11, 720, 30704.000000, 0.057638, 532704.118811, 532704.000000, 1.000000, 4, 14.913396, 319837.494539, 319837.494539
Z1, 0, 12, 720, 8936.000000, 0.064201, 139187.863117, 139184.000000, 1.000000, 4, 16.958199, 326185.445673, 326185.445673
Z2, 0, 12, 720, 6624.000000, 0.059714, 110928.760425, 110928.000000, 1.000000, 4, 16.958199, 320533.625134, 320533.625134
Z2, 1, 12, 720, 10480.000000, 0.069733, 150287.525275, 150280.000000, 1.000000, 4, 16.958199, 328405.378104, 328405.378104
Z2, 2, 12, 720, 9320.000000, 0.143391, 64997.105816, 64992.000000, 1.000000, 4, 16.958199, 311347.294213, 311347.294213
Z2, 3, 12, 720, 20968.000000, 0.059733, 351028.744580, 351024.000000, 1.000000, 4, 16.958199, 368553.621966, 368553.621966
Z2, 4, 12, 720, 13336.000000, 0.060331, 221047.222821, 221040.000000, 1.000000, 4, 16.958199, 342557.317614, 342557.317614
Z2, 5, 12, 720, 24504.000000, 0.059772, 409957.839791, 409952.000000, 1.000000, 4, 16.958199, 380339.441008, 380339.441008
Z2, 6, 12, 720, 38960.000000, 0.061074, 637914.660903, 637912.000000, 1.000000, 4, 16.958199, 425930.805230, 425930.805230
Z2, 7, 12, 720, 27056.000000, 0.058880, 459510.869565, 459504.000000, 1.000000, 4, 16.958199, 390250.046963, 390250.046963
Z3, 0, 12, 720, 8400.000000, 0.056935, 147536.664618, 147536.000000, 1.000000, 4, 16.958199, 327855.205973, 327855.205973
Z3, 1, 12, 720, 10232.000000, 0.051972, 196875.240514, 196872.000000, 1.000000, 4, 16.958199, 337722.921152, 337722.921152
Z3, 2, 12, 720, 9192.000000, 0.060028, 153128.540015, 153128.000000, 1.000000, 4, 16.958199, 328973.581052, 328973.581052
Z3, 3, 12, 720, 9656.000000, 0.064127, 150576.200352, 150576.000000, 1.000000, 4, 16.958199, 328463.113120, 328463.113120
Z3, 4, 12, 720, 8544.000000, 0.057360, 148953.974895, 148952.000000, 1.000000, 4, 16.958199, 328138.668029, 328138.668029
Z3, 5, 12, 720, 16912.000000, 0.058972, 286780.166859, 286776.000000, 1.000000, 4, 16.958199, 355703.906421, 355703.906421
Z3, 6, 12, 720, 21632.000000, 0.061071, 354210.672823, 354208.000000, 1.000000, 4, 16.958199, 369190.007614, 369190.007614
Z3, 7, 12, 720, 13856.000000, 0.058511, 236810.172446, 236808.000000, 1.000000, 4, 16.958199, 345709.907539, 345709.907539
Z3, 8, 12, 720, 17200.000000, 0.055760, 308464.849354, 308464.000000, 1.000000, 4, 16.958199, 360040.842920, 360040.842920
Z3, 9, 12, 720, 17552.000000, 0.059830, 293364.532843, 293360.000000, 1.000000, 4, 16.958199, 357020.779618, 357020.779618
